id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
abbotji01;1996;1;CAL;AL;2;18;27;23;1;0;0;426;171;118;23;78;58;0,306;7,48;3;13;4;1;654;2;128;4;10;17
abbotky01;1996;1;CAL;AL;0;1;3;0;0;0;0;12;10;9;1;5;3;0,500;20,25;0;1;0;0;26;1;9;1;0;0
acrema01;1996;1;OAK;AL;1;3;22;0;0;0;2;75;38;17;4;9;18;0,339;6,12;4;0;2;0;124;11;17;1;0;2
adamsjo02;1996;1;FLO;NL;0;0;9;0;0;0;0;33;18;9;1;7;7;0,400;7,36;0;0;1;0;56;1;9;2;1;2
adamste01;1996;1;CHN;NL;3;6;69;0;0;0;4;303;84;33;6;49;78;0,231;2,94;6;5;1;1;423;22;36;7;3;14
adamswi02;1996;1;OAK;AL;3;4;12;12;1;1;0;229;76;34;11;23;68;0,257;4,01;3;2;5;0;329;0;39;3;2;5
aguilri01;1996;1;MIN;AL;8;6;19;19;2;0;0;334;124;67;20;27;83;0,276;5,42;1;6;3;0;484;0;69;1;3;5
alberjo01;1996;1;TEX;AL;0;1;5;1;0;0;0;28;14;6;1;7;2;0,368;5,79;1;0;0;0;46;1;6;0;1;2
aldremi01;1996;2;NYA;AL;0;0;1;0;0;0;0;3;1;0;0;0;0;0,333;0,00;0;0;0;0;4;1;0;0;1;0
aldresc01;1996;1;DET;AL;0;4;11;8;0;0;0;130;60;45;9;26;36;0,328;9,35;3;6;3;1;217;0;52;3;2;3
aldresc01;1996;2;MIN;AL;6;5;25;17;0;0;0;366;134;69;20;42;75;0,281;5,09;1;4;3;0;531;0;73;4;5;9
alexama02;1996;1;BAL;AL;0;0;1;0;0;0;0;2;1;5;1;4;0;0,500;67,50;0;0;0;0;7;1;5;0;1;0
alstoga01;1996;1;COL;NL;1;0;6;0;0;0;0;18;9;6;1;3;5;0,375;9,00;0;1;1;0;30;4;6;0;2;1
alvarta01;1996;1;MON;NL;2;1;11;5;0;0;0;63;19;7;0;12;9;0,235;3,00;1;0;1;0;96;3;10;2;0;1
alvarwi01;1996;1;CHA;AL;15;10;35;35;0;0;0;652;216;102;21;97;181;0,258;4,22;3;2;4;0;946;0;106;5;2;18
anderbr02;1996;1;CLE;AL;3;1;10;9;0;0;0;154;58;28;9;14;21;0,296;4,91;1;2;0;0;215;0;29;2;3;4
andujlu01;1996;1;CHA;AL;0;2;5;5;0;0;0;69;32;21;4;15;6;0,337;8,22;0;0;0;0;113;0;22;1;2;3
andujlu01;1996;2;TOR;AL;1;1;3;2;0;0;0;43;14;8;4;1;5;0,264;5,02;0;1;1;0;57;0;8;0;2;2
appieke01;1996;1;KCA;AL;14;11;32;32;5;1;0;634;192;85;17;75;207;0,245;3,62;2;10;5;1;874;0;87;7;4;21
ashbyan01;1996;1;SDN;NL;9;5;24;24;1;0;0;452;147;54;17;34;85;0,259;3,23;1;3;3;0;612;0;60;6;2;18
assenpa01;1996;1;CLE;AL;4;2;63;0;0;0;1;140;46;16;1;14;44;0,260;3,09;5;2;4;0;201;25;18;4;2;1
astacpe01;1996;1;LAN;NL;9;8;35;32;0;0;0;635;207;81;18;67;130;0,261;3,44;9;6;9;2;885;0;86;11;5;28
aucoide01;1996;1;MON;NL;0;1;2;0;0;0;0;8;3;1;0;1;1;0,300;3,38;0;0;0;0;12;0;1;1;0;0
averyst01;1996;1;ATL;NL;7;10;24;23;1;0;0;393;146;65;10;40;86;0,285;4,47;8;5;4;0;567;0;70;7;3;9
ayalabo01;1996;1;SEA;AL;6;3;50;0;0;0;3;202;65;44;10;25;61;0,256;5,88;3;2;2;0;285;26;45;2;2;5
baileco01;1996;1;SLN;NL;5;2;51;0;0;0;0;171;57;19;1;30;38;0,263;3,00;3;3;1;0;251;12;21;2;1;7
bailero01;1996;1;COL;NL;2;3;24;11;0;0;1;251;94;58;7;52;45;0,288;6,24;0;3;1;0;385;4;64;2;4;8
baldwja01;1996;1;CHA;AL;11;6;28;28;0;0;0;507;168;83;24;57;127;0,257;4,42;3;12;4;1;719;0;88;2;2;9
barbebr02;1996;1;SLN;NL;0;0;1;1;0;0;0;9;4;5;0;6;1;0,364;15,00;0;0;1;0;20;0;5;0;2;0
bartosh01;1996;1;SFN;NL;0;0;7;0;0;0;0;25;19;9;2;1;3;0,442;9,72;0;1;0;1;45;2;12;1;0;3
