id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
aardsda01;2015;1;ATL;NL;1;1;33;0;0;0;0;92;25;16;6;14;35;0,223;4,70;3;1;1;0;129;9;17;0;1;4
abadfe01;2015;1;OAK;AL;2;2;62;0;0;0;0;143;45;22;11;19;45;0,251;4,15;3;4;1;0;205;17;23;3;3;1
achteaj01;2015;1;MIN;AL;0;1;11;0;0;0;0;40;12;10;4;6;14;0,231;6,75;1;0;0;0;58;4;10;0;0;1
adamsau01;2015;1;CLE;AL;2;0;28;0;0;0;1;100;37;14;2;13;23;0,276;3,78;0;1;0;0;149;9;15;2;0;3
adcocna01;2015;1;CIN;NL;1;2;13;0;0;0;0;54;15;12;3;12;13;0,221;6,00;0;1;1;0;83;4;12;1;1;0
affelje01;2015;1;SFN;NL;2;2;52;0;0;0;0;106;43;23;6;14;21;0,293;5,86;2;1;2;0;163;7;24;0;0;4
alberan01;2015;1;TOR;AL;0;0;1;0;0;0;0;8;1;1;1;2;1;0,111;3,38;0;0;0;0;11;0;1;0;0;0
alberma01;2015;1;CHA;AL;2;0;30;0;0;0;0;112;31;5;3;9;28;0,228;1,21;2;0;1;0;149;5;6;0;3;4
albural01;2015;1;DET;AL;4;1;67;0;0;0;0;186;63;29;4;33;58;0,269;4,21;3;5;1;4;271;12;29;1;2;5
alexasc01;2015;1;KCA;AL;0;0;4;0;0;0;0;18;5;3;0;3;3;0,238;4,50;0;1;1;0;25;3;3;0;0;2
allenco01;2015;1;CLE;AL;2;5;70;0;0;0;34;208;56;23;2;25;99;0,219;2,99;2;9;2;0;286;58;26;1;2;5
almonmi01;2015;1;KCA;AL;0;2;9;0;0;0;0;26;7;6;4;7;10;0,212;6,23;0;0;1;0;41;3;6;0;0;0
alvarda01;2015;1;NYN;NL;1;0;6;0;0;0;0;11;5;5;2;1;2;0,333;12,27;0;0;2;1;19;0;5;1;0;0
alvarhe01;2015;1;MIA;NL;0;4;4;4;0;0;0;67;28;16;1;7;9;0,311;6,45;1;3;0;1;102;0;18;4;1;1
alvarjo02;2015;1;LAA;AL;4;3;64;0;0;0;0;201;58;26;5;23;59;0,228;3,49;4;1;5;0;283;18;29;0;1;7
alvarrj01;2015;1;OAK;AL;0;0;21;0;0;0;0;60;27;22;7;13;23;0,318;9,90;1;5;0;0;100;11;23;0;2;0
amarial01;2015;1;SDN;NL;0;0;1;0;0;0;0;1;0;0;0;0;0;0,000;0,00;0;0;0;0;1;1;0;0;0;0
anderbr04;2015;1;LAN;NL;10;9;31;31;1;0;0;541;194;74;18;46;116;0,278;3,69;2;4;2;2;750;0;82;3;2;23
anderch01;2015;1;ARI;NL;6;6;27;27;0;0;0;458;158;73;18;40;111;0,272;4,30;2;3;7;0;640;0;75;3;9;15
anderco01;2015;1;CLE;AL;7;3;15;15;1;0;0;274;77;31;9;24;44;0,231;3,05;1;0;1;1;365;0;32;3;3;8
andrima01;2015;1;TBA;AL;3;5;25;8;0;0;2;197;69;30;8;18;49;0,267;4,11;1;2;2;2;282;8;32;1;3;2
araujel01;2015;1;PHI;NL;2;1;40;0;0;0;0;104;29;13;1;19;34;0,225;3,38;1;2;0;0;151;5;17;2;0;5
archech01;2015;1;TBA;AL;12;13;34;34;1;1;0;636;175;76;19;66;252;0,220;3,23;0;13;3;0;868;0;85;2;2;10
armstsh01;2015;1;CLE;AL;0;0;8;0;0;0;0;24;5;2;1;2;11;0,179;2,25;0;0;0;0;30;5;2;0;0;1
arojo01;2015;1;BOS;AL;0;1;6;0;0;0;0;31;15;8;2;4;8;0,341;6,97;0;0;0;0;49;2;8;0;1;0
arrieja01;2015;1;CHN;NL;22;6;33;33;4;3;0;687;150;45;10;48;236;0,185;1,77;2;6;6;0;870;0;52;4;1;15
asheral01;2015;1;PHI;NL;0;6;7;7;0;0;0;87;42;30;8;10;16;0,339;9,31;0;2;1;2;138;0;30;2;1;0
atchisc01;2015;1;CLE;AL;1;1;23;0;0;0;0;59;23;15;6;4;12;0,288;6,86;0;3;1;0;87;7;15;0;2;0
aumonph01;2015;1;PHI;NL;0;1;1;1;0;0;0;12;5;6;2;7;3;0,313;13,50;0;1;0;0;23;0;6;0;0;1
avilalu01;2015;1;ATL;NL;2;4;50;0;0;0;0;113;35;15;4;10;31;0,245;3,58;2;1;0;1;154;7;15;0;1;7
avilalu01;2015;2;LAN;NL;0;1;23;0;0;0;0;47;13;9;2;5;18;0,224;5,17;0;1;1;0;66;2;9;1;1;1
axelrdy01;2015;1;CIN;NL;0;1;6;0;0;0;0;37;11;10;5;8;12;0,220;7,30;2;0;0;0;59;3;13;1;0;0
axforjo01;2015;1;COL;NL;4;5;60;0;0;0;25;167;56;26;4;32;62;0,259;4,20;4;1;0;0;250;43;27;0;2;3
badenbu01;2015;1;CIN;NL;2;4;68;0;0;0;0;199;71;29;4;20;36;0,273;3,93;4;0;0;0;285;17;30;2;3;6
baezpe01;2015;1;LAN;NL;4;2;52;0;0;0;0;153;47;19;4;11;60;0,247;3,35;1;1;1;1;208;8;22;3;3;2
bailean01;2015;1;NYA;AL;0;1;10;0;0;0;0;26;9;5;2;5;6;0,265;5,19;1;0;0;0;41;3;8;0;2;0
baileho02;2015;1;CIN;NL;0;1;2;2;0;0;0;34;16;7;3;4;3;0,340;5,56;2;0;0;0;51;0;7;0;0;3
bakersc02;2015;1;LAN;NL;0;1;2;2;0;0;0;33;11;7;4;3;8;0,262;5,73;0;1;0;0;45;0;7;0;0;0
balesco01;2015;1;CIN;NL;1;1;15;0;0;0;0;47;17;13;3;13;13;0,274;7,47;0;1;1;0;77;5;13;0;1;1
balfogr01;2015;1;TBA;AL;0;0;6;0;0;0;0;13;3;3;1;4;0;0,200;6,23;0;1;1;0;21;1;3;0;1;0
