id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
aasedo01;1990;1;LAN;NL;3;1;32;0;0;0;3;114;33;21;5;19;24;0,232;4,97;4;3;0;0;163;13;24;2;0;2
abbotji01;1990;1;CAL;AL;10;14;33;33;4;1;0;635;246;106;16;72;105;0,295;4,51;6;4;5;3;925;0;116;9;6;27
abbotpa01;1990;1;MIN;AL;0;5;7;7;0;0;0;104;37;23;0;28;25;0,282;5,97;0;1;1;0;162;0;24;1;1;4
ackerji01;1990;1;TOR;AL;4;4;59;0;0;0;1;275;103;39;9;30;54;0,281;3,83;5;4;3;1;403;19;49;3;1;6
adkinst01;1990;1;NYA;AL;1;2;5;5;0;0;0;72;19;17;4;29;14;0,226;6,38;0;2;0;0;115;0;18;1;1;3
agostju01;1990;1;HOU;NL;9;8;82;0;0;0;4;277;91;44;4;39;50;0,261;4,29;8;1;7;0;404;29;46;7;2;5
aguilri01;1990;1;MIN;AL;5;3;56;0;0;0;32;196;55;20;5;19;61;0,224;2,76;6;3;4;0;268;54;27;0;0;8
akerfda01;1990;1;PHI;NL;5;2;71;0;0;0;3;279;65;39;10;54;42;0,201;3,77;8;7;3;1;395;18;45;9;5;8
aldresc01;1990;1;DET;AL;1;2;4;3;0;0;0;43;13;6;0;10;7;0,265;3,77;1;0;1;0;63;0;6;2;1;4
aldrija01;1990;1;BAL;AL;1;2;7;0;0;0;1;36;17;11;1;7;5;0,327;8,25;3;0;0;1;61;2;13;2;0;3
alexage01;1990;1;TEX;AL;0;0;3;2;0;0;0;21;14;6;0;5;8;0,438;7,71;0;0;1;0;39;1;6;0;1;1
anderal02;1990;1;MIN;AL;7;18;31;31;5;1;0;566;214;95;20;39;82;0,289;4,53;1;4;5;3;797;0;106;4;8;19
anderla02;1990;1;HOU;NL;5;2;50;0;0;0;6;221;61;16;2;24;68;0,229;1,95;5;2;1;0;301;20;19;5;5;5
anderla02;1990;2;BOS;AL;0;0;15;0;0;0;1;66;18;3;0;3;25;0,220;1,23;0;2;1;0;86;4;3;0;0;1
andersc01;1990;1;MON;NL;0;1;4;3;0;0;0;54;12;6;1;5;16;0,188;3,00;0;0;0;0;71;1;6;1;1;0
appieke01;1990;1;KCA;AL;12;8;32;24;3;3;0;557;179;57;13;54;127;0,252;2,76;2;6;6;1;784;1;67;5;9;21
aquinlu01;1990;1;KCA;AL;4;1;20;3;1;0;0;205;59;24;6;27;28;0,237;3,16;6;3;4;1;287;3;25;5;2;11
armstja01;1990;1;CIN;NL;12;9;29;27;2;1;0;498;151;63;9;59;110;0,242;3,42;7;7;6;5;704;1;72;8;5;9
arnsbbr01;1990;1;TEX;AL;6;1;53;0;0;0;5;188;56;15;4;33;44;0,235;2,15;1;8;2;0;277;20;20;2;2;3
assenpa01;1990;1;CHN;NL;7;2;74;1;0;0;10;309;90;32;10;36;95;0,239;2,80;8;2;1;0;426;21;33;10;3;9
augusdo01;1990;1;ML4;AL;0;3;5;0;0;0;0;33;13;8;0;5;2;0,295;6,55;0;2;0;0;51;1;10;2;0;1
averyst01;1990;1;ATL;NL;3;11;21;20;1;1;0;297;121;62;7;45;75;0,302;5,64;2;5;2;1;466;1;79;14;4;5
