id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
accarje01;2005;1;SFN;NL;1;5;28;0;0;0;0;89;26;13;2;9;16;0,232;3,94;1;1;1;0;124;7;13;1;1;3
acevejo01;2005;1;COL;NL;2;4;36;5;0;0;1;192;86;46;13;16;31;0,321;6,47;3;0;1;1;292;7;48;2;5;3
adamsmi03;2005;1;MIL;NL;0;1;13;0;0;0;1;40;12;4;2;10;14;0,235;2,70;1;1;0;0;61;7;4;0;0;1
adamste01;2005;1;PHI;NL;0;2;16;0;0;0;0;40;25;19;3;10;4;0,403;12,83;2;0;4;0;77;5;19;1;0;2
adkinjo01;2005;1;CHA;AL;0;1;5;0;0;0;0;25;13;8;0;4;1;0,351;8,64;2;0;1;0;42;4;8;0;0;1
affelje01;2005;1;KCA;AL;0;2;49;0;0;0;0;149;56;29;3;29;39;0,277;5,26;2;5;0;0;232;13;35;0;1;6
alfonan01;2005;1;FLO;NL;1;1;33;0;0;0;0;82;29;15;2;14;16;0,299;4,94;4;1;2;0;118;1;15;3;2;6
almanar01;2005;1;ARI;NL;0;0;6;0;0;0;0;12;5;1;1;3;2;0,313;2,25;0;1;0;0;19;1;1;0;0;1
almanca01;2005;1;TEX;AL;0;0;6;0;0;0;0;15;10;8;2;7;3;0,435;14,40;0;4;1;0;33;2;8;0;2;0
alvarab01;2005;1;BOS;AL;0;0;2;0;0;0;0;7;6;4;1;0;1;0,462;15,43;0;0;0;0;13;1;4;0;0;0
alvarwi01;2005;1;LAN;NL;1;4;21;2;0;0;0;72;31;15;7;7;16;0,316;5,63;0;0;0;0;109;3;15;2;2;1
anderbr02;2005;1;KCA;AL;1;2;6;6;0;0;0;92;39;23;7;4;17;0,305;6,75;1;0;0;1;133;0;24;0;1;2
anderja01;2005;1;NYA;AL;1;0;3;0;0;0;0;17;4;5;0;7;2;0,200;7,94;1;0;0;0;27;1;5;0;0;1
anderma01;2005;1;COL;NL;0;0;12;0;0;0;0;30;19;14;3;11;4;0,404;12,60;0;0;2;0;62;6;17;1;1;1
aquingr01;2005;1;ARI;NL;0;1;35;0;0;0;1;94;42;27;7;17;34;0,318;7,76;1;2;4;1;155;11;29;1;1;1
armasto02;2005;1;WAS;NL;7;7;19;19;0;0;0;304;100;56;16;54;59;0,258;4,97;4;6;5;2;452;0;57;4;1;7
arroybr01;2005;1;BOS;AL;14;10;35;32;0;0;0;616;213;103;22;54;100;0,266;4,51;3;5;14;1;878;1;116;4;4;14
astacez01;2005;1;HOU;NL;3;6;22;14;0;0;0;243;100;51;23;25;66;0,301;5,67;2;4;1;1;366;5;56;2;6;2
astacpe01;2005;1;TEX;AL;2;8;12;12;0;0;0;201;79;45;13;11;45;0,292;6,04;1;3;1;1;288;0;45;3;2;3
astacpe01;2005;2;SDN;NL;4;2;12;10;0;0;0;179;54;21;4;26;33;0,247;3,17;3;3;1;0;252;1;21;4;2;5
atchisc01;2005;1;SEA;AL;0;0;6;0;0;0;0;20;7;5;1;1;9;0,269;6,75;0;0;0;0;27;2;5;0;0;0
ayalalu01;2005;1;WAS;NL;8;7;68;0;0;0;1;213;75;21;7;14;40;0,286;2,66;4;0;6;0;293;18;23;8;3;9
aybarma01;2005;1;NYN;NL;0;0;22;0;0;0;0;76;31;17;4;7;27;0,301;6,04;1;0;1;0;114;4;17;1;2;0
backebr01;2005;1;HOU;NL;10;8;26;25;1;1;0;448;151;79;19;67;97;0,263;4,76;1;5;4;2;653;0;82;7;1;13
baezda01;2005;1;TBA;AL;5;4;67;0;0;0;41;217;66;23;7;30;51;0,244;2,86;0;0;2;0;308;64;27;4;2;9
bajenje01;2005;1;CHA;AL;0;0;4;0;0;0;0;13;4;3;2;0;3;0,222;6,23;0;1;0;0;18;3;3;0;0;0
bakersc02;2005;1;MIN;AL;3;3;10;9;0;0;0;161;48;20;5;14;32;0,241;3,35;0;0;0;0;217;0;21;2;2;4
baldwja01;2005;1;BAL;AL;0;0;12;0;0;0;0;67;17;4;2;3;12;0,218;1,61;0;1;1;0;84;7;4;1;1;2
baldwja01;2005;2;TEX;AL;0;2;8;0;0;0;1;52;18;10;3;7;9;0,273;5,19;1;1;1;1;76;2;10;0;2;2
baldwja01;2005;3;BAL;AL;0;0;8;0;0;0;0;51;19;10;3;6;8;0,275;5,29;0;0;1;0;78;4;14;0;2;1
bartocl01;2005;1;CHN;NL;0;2;19;0;0;0;0;59;23;12;7;11;15;0,307;5,49;0;0;2;0;91;7;13;2;1;6
batismi01;2005;1;TOR;AL;5;8;71;0;0;0;31;224;80;34;9;27;54;0,268;4,10;5;3;2;0;331;62;39;2;2;6
bauerri01;2005;1;BAL;AL;0;0;5;0;0;0;0;25;13;9;2;4;5;0,361;9,72;0;0;0;0;40;2;9;0;0;1
bautide01;2005;1;KCA;AL;2;2;7;7;0;0;0;107;36;23;2;17;23;0,259;5,80;0;3;2;0;160;0;23;1;1;4
baylijo01;2005;1;KCA;AL;0;0;11;0;0;0;0;35;7;6;2;4;10;0,167;4,63;0;0;2;0;48;7;6;0;0;1
bazaryo01;2005;1;FLO;NL;0;0;1;0;0;0;0;5;5;4;0;2;2;0,500;21,60;0;1;0;0;12;0;5;0;0;1
beanco01;2005;1;NYA;AL;0;0;1;0;0;0;0;6;1;1;0;2;2;0,143;4,50;0;0;0;0;9;1;1;0;0;0
